Diego Morales, Experticia: 5, Opinión: 8
Luis Ramírez, Experticia: 9, Opinión: 8
Isabel Pérez, Experticia: 7, Opinión: 6
Mario López, Experticia: 8, Opinión: 9
Claudia Márquez, Experticia: 6, Opinión: 7
Carlos Mendoza, Experticia: 9, Opinión: 6
Andrés Ramírez, Experticia: 8, Opinión: 8
Valeria Vargas, Experticia: 7, Opinión: 7
Tomás García, Experticia: 8, Opinión: 6



{126,86,73}
{19,11,17}
{26,18,47}
{60,87,120}
{112,49,42}

{41,79,63}
{104,43,56}
{3,77,121}
{32,74,83}
{119,54,102}

{113,70,53}
{145,128,132}
{21,107,136}
{29,6,110}
{28,92,4}

{85,72,139}
{51,88,66}
{65,129,25}
{146,7,12}
{50,84,101}

{2,80,150}
{99,64,68}
{75,40,98}
{67,143,5}
{22,9,95}

{93,44,135}
{103,36,82}
{130,35,137}
{89,62,114}
{106,13,69}

{10,45,27}
{131,57,15}
{105,30,14}
{34,141,46}
{147,148,39}

{111,138,124}
{118,142,33}
{8,117,78}
{55,90,149}
{48,23,52}

{1, 16, 20}
{24, 31, 37}
{38, 58, 59}
{61, 71, 76}
{81, 91, 94}

{96, 97, 100}
{108, 109, 115}
{116, 122, 123}
{125, 127, 133}
{134, 140, 144}
